Time:ulong,Error:uinteger,Event:string,Master:string,Data1:string,Data2:string,Arg1:uinteger,Arg2:uinteger,Arg3:uinteger,Arg4:uinteger,Arg5:uinteger,Arg6:uinteger,Arg7:uinteger,Arg8:uinteger,Logger:string,
1000,0,UIAEvt_intWithKey,VPSS,"HeapID 3",2048,2048,13,44,0x200,3,,,,X,
1100,0,UIAEvt_intWithKey,VPSS,"HeapID 2",4096,4096,13,44,0x200,2,,,,X,
2000,0,UIAEvt_intWithKey,VIDEO,"HeapID 0",2048,2048,13,148,0x200,0,,,,X,
2100,0,UIAEvt_intWithKey,VIDEO,"HeapID 2",4096,4096,13,148,0x200,2,,,,X,
3000,0,UIAEvt_intWithKey,VPSS,"HeapID 3",2048,2048,13,44,0x200,3,,,,X,
3300,0,UIAEvt_intWithKey,VPSS,"HeapID 2",4096,4096,13,44,0x200,2,,,,X,
4100,0,UIAEvt_intWithKey,VIDEO,"HeapID 0",2048,2048,13,148,0x200,0,,,,X,
4700,0,UIAEvt_intWithKey,VIDEO,"HeapID 2",4096,4096,13,148,0x200,2,,,,X,
5000,0,UIAEvt_intWithKey,VPSS,"HeapID 3",2048,2048,13,44,0x200,3,,,,X,
6300,0,UIAEvt_intWithKey,VPSS,"HeapID 2",2048,2048,13,44,0x200,2,,,,X,
7100,0,UIAEvt_intWithKey,VIDEO,"HeapID 0",2048,2048,13,148,0x200,0,,,,X,
7700,0,UIAEvt_intWithKey,VIDEO,"HeapID 2",4096,4096,13,148,0x200,2,,,,X,
8200,0,UIAEvt_intWithKey,VPSS,"HeapID 3",2048,2048,13,44,0x200,3,,,,X,
8500,0,UIAEvt_intWithKey,VPSS,"HeapID 2",1024,1024,13,44,0x200,2,,,,X,
9500,0,UIAEvt_intWithKey,VIDEO,"HeapID 0",2048,2048,13,148,0x200,0,,,,X,
9700,0,UIAEvt_intWithKey,VIDEO,"HeapID 2",4096,4096,13,148,0x200,2,,,,X,
10200,0,UIAEvt_intWithKey,VPSS,"HeapID 3",2048,2048,13,44,0x200,3,,,,X,
10500,0,UIAEvt_intWithKey,VPSS,"HeapID 2",1024,1024,13,44,0x200,2,,,,X,
11500,0,UIAEvt_intWithKey,VIDEO,"HeapID 0",2048,2048,13,148,0x200,0,,,,X,
11800,0,UIAEvt_intWithKey,VIDEO,"HeapID 2",4096,4096,13,148,0x200,2,,,,X,
