Memory Name:string,Time:ulong,Minimum Average Latency:float,
"L2_2","3","0.0",
"L2_0","8","0.0",
"L2_3","36","0.0",
"L2_1","42","0.0",
"L2_2","74","0.0",
"L2_0","77","0.0",
"L2_3","86","0.0",
"L2_1","102","0.0",
"L2_2","118","0.0",
"L2_0","124","0.0",
"L2_3","149","0.0",
"L2_1","154","0.0",
"L2_2","182","0.0",
"L2_0","187","0.0",
"L2_3","196","0.0",
"L2_1","217","0.0",
"L2_2","234","0.0",
"L2_0","239","0.0",
"L2_3","264","0.0",
"L2_1","269","0.0",
"L2_2","294","0.0",
"L2_0","300","0.0",
"L2_3","311","0.0",
"L2_1","333","0.0",
"L2_2","346","0.0",
"L2_0","349","0.0",
"L2_3","375","0.0",
"L2_1","379","0.0",
"L2_2","412","0.0",
"L2_0","417","0.0",
"L2_3","427","0.0",
"L2_1","448","0.0",
"L2_2","459","0.0",
"L2_0","464","0.0",
"L2_3","486","0.0",
"L2_1","492","0.0",
"L2_2","522","0.0",
"L2_0","527","0.0",
"L2_3","538","0.0",
"L2_1","556","0.0",
"L2_2","571","0.0",
"L2_0","577","0.0",
"L2_3","603","0.0",
"L2_1","608","0.0",
"L2_2","640","0.0",
"L2_0","644","0.0",
"L2_3","653","0.0",
"L2_1","670","0.0",
"L2_2","687","0.0",
"L2_0","692","0.0",
"L2_3","717","0.0",
"L2_1","722","0.0",
"L2_2","751","0.0",
"L2_0","757","0.0",
"L2_3","765","0.0",
"L2_1","786","0.0",
"L2_2","801","0.0",
"L2_0","806","0.0",
"L2_3","832","0.0",
"L2_1","836","0.0",
"L2_2","862","0.0",
"L2_0","867","0.0",
"L2_3","877","0.0",
"L2_1","898","0.0",
"L2_2","912","0.0",
"L2_0","916","0.0",
"L2_3","942","0.0",
"L2_1","946","0.0",
"L2_2","975","0.0",
"L2_0","980","0.0",
"L2_3","992","0.0",
"L2_1","1014","0.0",
"L2_2","1028","0.0",
"L2_0","1033","0.0",
"L2_3","1055","0.0",
"L2_1","1060","0.0",
"L2_2","1089","0.0",
"L2_0","1095","0.0",
"L2_3","1105","0.0",
"L2_1","1124","0.0",
"L2_2","1136","0.0",
"L2_0","1141","0.0",
"L2_3","1168","0.0",
"L2_1","1173","0.0",
"L2_2","1206","0.0",
"L2_0","1210","0.0",
"L2_3","1218","0.0",
"L2_1","1232","0.0",
"L2_2","1248","0.0",
"L2_0","1254","0.0",
"L2_3","1279","0.0",
"L2_1","1285","0.0",
"L2_2","1315","0.0",
"L2_0","1320","0.0",
"L2_3","1329","0.0",
"L2_1","1350","0.0",
"L2_2","1367","0.0",
"L2_0","1372","0.0",
"L2_3","1399","0.0",
"L2_1","1402","0.0",
"L2_2","1426","0.0",
"L2_0","1431","0.0",
"L2_3","1442","0.0",
"L2_1","1463","0.0",
"L2_2","1477","0.0",
"L2_0","1480","0.0",
"L2_3","1505","0.0",
"L2_1","1508","0.0",
"L2_2","1538","0.0",
"L2_0","1544","0.0",
"L2_3","1554","0.0",
"L2_1","1576","0.0",
"L2_2","1587","0.0",
"L2_0","1592","0.0",
"L2_3","1614","0.0",
"L2_1","1620","0.0",
"L2_2","1651","0.0",
"L2_0","1656","0.0",
"L2_3","1667","0.0",
"L2_1","1685","0.0",
"L2_2","1700","0.0",
"L2_0","1706","0.0",
"L2_3","1733","0.0",
"L2_1","1738","0.0",
"L2_2","1768","0.0",
"L2_0","1771","0.0",
"L2_3","1780","0.0",
"L2_1","1796","0.0",
"L2_2","1813","0.0",
"L2_0","1818","0.0",
"L2_3","1842","0.0",
"L2_1","1847","0.0",
"L2_2","1875","0.0",
"L2_0","1881","0.0",
"L2_3","1890","0.0",
"L2_1","1912","0.0",
"L2_2","1927","0.0",
"L2_0","1932","0.0",
"L2_3","1960","0.0",
"L2_1","1964","0.0",
"L2_2","1988","0.0",
"L2_0","1993","0.0",
"L2_3","2003","0.0",
"L2_1","2024","0.0",
"L2_2","2038","0.0",
"L2_0","2042","0.0",
"L2_3","2067","0.0",
"L2_1","2071","0.0",
"L2_2","2103","0.0",
"L2_0","2108","0.0",
"L2_3","2119","0.0",
"L2_1","2140","0.0",
"L2_2","2156","0.0",
"L2_0","2162","0.0",
"L2_3","2182","0.0",
"L2_1","2187","0.0",
"L2_2","2217","0.0",
"L2_0","2223","0.0",
"L2_3","2234","0.0",
"L2_1","2254","0.0",
"L2_2","2269","0.0",
"L2_0","2274","0.0",
"L2_3","2301","0.0",
"L2_1","2306","0.0",
"L2_2","2338","0.0",
"L2_0","2342","0.0",
"L2_3","2350","0.0",
"L2_1","2365","0.0",
"L2_2","2380","0.0",
"L2_0","2385","0.0",
"L2_3","2411","0.0",
"L2_1","2417","0.0",
"L2_2","2446","0.0",
"L2_0","2451","0.0",
"L2_3","2460","0.0",
"L2_1","2481","0.0",
"L2_2","2497","0.0",
"L2_0","2503","0.0",
"L2_3","2530","0.0",
"L2_1","2535","0.0",
"L2_2","2559","0.0",
"L2_0","2564","0.0",
"L2_3","2576","0.0",
"L2_1","2598","0.0",
"L2_2","2614","0.0",
"L2_0","2617","0.0",
"L2_3","2642","0.0",
"L2_1","2645","0.0",
"L2_2","2676","0.0",
"L2_0","2682","0.0",
"L2_3","2693","0.0",
"L2_1","2714","0.0",
"L2_2","2726","0.0",
"L2_0","2731","0.0",
"L2_3","2752","0.0",
"L2_1","2757","0.0",
"L2_2","2789","0.0",
"L2_0","2794","0.0",
"L2_3","2804","0.0",
"L2_1","2821","0.0",
"L2_2","2834","0.0",
"L2_0","2840","0.0",
"L2_3","2867","0.0",
"L2_1","2873","0.0",
"L2_2","2905","0.0",
"L2_0","2908","0.0",
"L2_3","2917","0.0",
"L2_1","2933","0.0",
"L2_2","2950","0.0",
"L2_0","2956","0.0",
"L2_3","2981","0.0",
"L2_1","2986","0.0",
"L2_2","3015","0.0",
"L2_0","3020","0.0",
"L2_3","3029","0.0",
"L2_1","3050","0.0",
"L2_2","3066","0.0",
"L2_0","3071","0.0",
"L2_3","3098","0.0",
"L2_1","3101","0.0",
"L2_2","3126","0.0",
"L2_0","3132","0.0",
"L2_3","3142","0.0",
"L2_1","3164","0.0",
"L2_2","3177","0.0",
"L2_0","3181","0.0",
"L2_3","3205","0.0",
"L2_1","3209","0.0",
"L2_2","3240","0.0",
"L2_0","3245","0.0",
"L2_3","3256","0.0",
"L2_1","3277","0.0",
"L2_2","3290","0.0",
"L2_0","3296","0.0",
"L2_3","3318","0.0",
"L2_1","3323","0.0",
"L2_2","3353","0.0",
"L2_0","3358","0.0",
"L2_3","3369","0.0",
"L2_1","3386","0.0",
"L2_2","3399","0.0",
"L2_0","3404","0.0",
"L2_3","3430","0.0",
"L2_1","3435","0.0",
"L2_2","3467","0.0",
"L2_0","3471","0.0",
"L2_3","3480","0.0",
"L2_1","3495","0.0",
"L2_2","3510","0.0",
