eType:uinteger,Time:ulong,Error:uinteger,Message:string,Master:string,Arg0:string,Event:string,EventClass:string,Module:string,Arg1:string,Arg2:string,Arg3:string,Arg4:string,Local Time:ulong,SeqNo:ulong,Domain:string,Logger:string,LoggerID:uinteger,Arg5:string,
6,2931807287,,Heap at [src/omx_vfcc.c:894]  (HeapId 0x0): Free Bytes=15721632,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,918377c4,37e,0,efe4a0,2931807287,494,xdc.runtime.Main,Main Logger,2,975f73c0,
6,3017743961,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15717680,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efd530,3017743961,519,xdc.runtime.Main,Main Logger,2,976bf330,
6,3025830525,,Heap at [src/omx_venc.c:2860]  (HeapId 0x0): Free Bytes=100294864,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8902da48,b2c,0,5fa60d0,3025830525,248,xdc.runtime.Main,Main Logger,2,89824168,
6,3031919461,,Heap at [src/omx_vdec.c:1718]  (HeapId 0x0): Free Bytes=100282024,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8901e5bc,6b6,0,5fa2ea8,3031919461,271,xdc.runtime.Main,Main Logger,2,89844d50,
6,3037056943,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15709048,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efb378,3037056943,568,xdc.runtime.Main,Main Logger,2,97694aa0,
6,3051708257,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15699600,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef8e90,3051708257,612,xdc.runtime.Main,Main Logger,2,9763a378,
6,3053251887,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15696864,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef83e0,3053251887,626,xdc.runtime.Main,Main Logger,2,9766cab8,
6,152933642621,,Heap at [src/omx_vfcc.c:894]  (HeapId 0x0): Free Bytes=15727584,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,918377c4,37e,0,effbe0,152933642621,56361,xdc.runtime.Main,Main Logger,2,975f73c0,
6,153017482163,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15723040,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efea20,153017482163,56385,xdc.runtime.Main,Main Logger,2,976bf330,
6,153026853955,,Heap at [src/omx_venc.c:2860]  (HeapId 0x0): Free Bytes=100295416,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8902da48,b2c,0,5fa62f8,153026853955,13846,xdc.runtime.Main,Main Logger,2,89824168,
6,153032926907,,Heap at [src/omx_vdec.c:1718]  (HeapId 0x0): Free Bytes=100283288,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8901e5bc,6b6,0,5fa3398,153032926907,13873,xdc.runtime.Main,Main Logger,2,89844d50,
6,153038545207,2,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15712632,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efc178,153038545207,56442,xdc.runtime.Main,Main Logger,2,97694aa0,
6,153053903527,2,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15701408,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef95a0,153053903527,56490,xdc.runtime.Main,Main Logger,2,9763a378,
6,153055499351,2,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15697488,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef8650,153055499351,56504,xdc.runtime.Main,Main Logger,2,9766cab8,
6,178027249321,,Heap at [src/omx_venc.c:2860]  (HeapId 0x0): Free Bytes=100295416,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8902da48,b2c,0,5fa62f8,178027249321,37978,xdc.runtime.Main,Main Logger,2,89824168,
6,178033274813,,Heap at [src/omx_vdec.c:1718]  (HeapId 0x0): Free Bytes=100283288,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8901e5bc,6b6,0,5fa3398,178033274813,38005,xdc.runtime.Main,Main Logger,2,89844d50,
6,178038861091,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15712632,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efc178,178038861091,65762,xdc.runtime.Main,Main Logger,2,97694aa0,
6,178054296369,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15701408,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef95a0,178054296369,65810,xdc.runtime.Main,Main Logger,2,9763a378,
6,178055921189,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15697488,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef8650,178055921189,65824,xdc.runtime.Main,Main Logger,2,9766cab8,
6,202917928623,,Heap at [src/omx_vfcc.c:894]  (HeapId 0x0): Free Bytes=15727584,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,918377c4,37e,0,effbe0,202917928623,74989,xdc.runtime.Main,Main Logger,2,975f73c0,
6,203002448141,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15723040,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efea20,203002448141,75013,xdc.runtime.Main,Main Logger,2,976bf330,
6,203011091611,,Heap at [src/omx_venc.c:2860]  (HeapId 0x0): Free Bytes=100295416,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8902da48,b2c,0,5fa62f8,203011091611,62078,xdc.runtime.Main,Main Logger,2,89824168,
6,203017226099,,Heap at [src/omx_vdec.c:1718]  (HeapId 0x0): Free Bytes=100283288,video,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,8901e5bc,6b6,0,5fa3398,203017226099,62105,xdc.runtime.Main,Main Logger,2,89844d50,
6,203023341275,,Heap at [src/omx_vfpc.c:1121]  (HeapId 0x0): Free Bytes=15712632,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91821660,461,0,efc178,203023341275,75070,xdc.runtime.Main,Main Logger,2,97694aa0,
6,203038637671,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15701408,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef95a0,203038637671,75118,xdc.runtime.Main,Main Logger,2,9763a378,
6,203040285379,,Heap at [src/omx_vfdc.c:978]  (HeapId 0x0): Free Bytes=15697488,vpss,,UIAStatistic_freeBytes,Unknown,ti.uia.events.UIAStatistic,91836f18,3d2,0,ef8650,203040285379,75132,xdc.runtime.Main,Main Logger,2,9766cab8,
