GPIO0,EPWM1A,reserved,reserved
GPIO1,EPWM1B,ECAP6,MFSRB
GPIO2,EPWM2A,reserved,reserved
GPIO3,EPWM2B,ECAP5,MCLKRB
GPIO4,EPWM3A,reserved,reserved
GPIO5,EPWM3B,MFSRA,ECAP1
GPIO6,EPWM4A,EPWMSYNCI,EPWMSYNCO
GPIO7,EPWM4B,MCLKRA,ECAP2
GPIO8,EPWM5A,CANTXB,ADCSOCAO
GPIO9,EPWM5B,SCITXDB,ECAP3
GPIO10,EPWM6A,CANRXB,ADCSOCBO
GPIO11,EPWM6B,SCIRXDB,ECAP4
GPIO12,TZ1,CANTXB,MDXB
GPIO13,TZ2,CANRXB,MDRB
GPIO14,TZ3/XHOLD,SCITXDB,MCLKXB
GPIO15,TZ4/XHOLDA,SCIRXDB,MFSXB
GPIO16,SPISIMOA,CANTXB,TZ5
GPIO17,SPISOMIA,CANRXB,TZ6
GPIO18,SPICLKA,SCITXDB,CANRXA
GPIO19,SPISTEA,SCIRXDB,CANTXA
GPIO20,EQEP1A,MDXA,CANTXB
GPIO21,EQEP1B,MDRA,CANRXB
GPIO22,EQEP1S,MCLKXA,SCITXDB
GPIO23,EQEP1I,MFSXA,SCIRXDB
GPIO24,ECAP1,EQEP2A,MDXB
GPIO25,ECAP2,EQEP2B,MDRB
GPIO26,ECAP3,EQEP2I,MCLKXB
GPIO27,ECAP4,EQEP2S,MFSXB
GPIO28,SCIRXDA,XZCS6,XZCS6
GPIO29,SCITXDA,XA19,XA19
GPIO30,CANRXA,XA18,XA18
GPIO31,CANTXA,XA17,XA17
GPIO32,SDAA,EPWMSYNCI,ADCSOCAO
GPIO33,SCLA,EPWMSYNCO,ADCSOCBO
GPIO34,ECAP1,XREADY,XREADY
GPIO35,SCITXDA,XRnW,XRnW
GPIO36,SCIRXDA,XZCS0,XZCS0
GPIO37,ECAP2,XZCS7,XZCS7
GPIO38,reserved,XWE0,XWE0
GPIO39,reserved,XA16,XA16
GPIO40,reserved,XA0/XWE1,XA0/XWE1
GPIO41,reserved,XA1,XA1
GPIO42,reserved,XA2,XA2
GPIO43,reserved,XA3,XA3
GPIO44,reserved,XA4,XA4
GPIO45,reserved,XA5,XA5
GPIO46,reserved,XA6,XA6
GPIO47,reserved,XA7,XA7
GPIO48,ECAP5,XD31,XD31
GPIO49,ECAP6,XD30,XD30
GPIO50,EQEP1A,XD29,XD29
GPIO51,EQEP1B,XD28,XD28
GPIO52,EQEP1S,XD27,XD27
GPIO53,EQEP1I,XD26,XD26
GPIO54,SPISIMOA,XD25,XD25
GPIO55,SPISOMIA,XD24,XD24
GPIO56,SPICLKA,XD23,XD23
GPIO57,SPISTEA,XD22,XD22
GPIO58,MCLKRA,XD21,XD21
GPIO59,MFSRA,XD20,XD20
GPIO60,MCLKRB,XD19,XD19
GPIO61,MFSRB,XD18,XD18
GPIO62,SCIRXDC,XD17,XD17
GPIO63,SCITXDC,XD16,XD16
GPIO64,GPIO64,XD15,XD15
GPIO65,GPIO65,XD14,XD14
GPIO66,GPIO66,XD13,XD13
GPIO67,GPIO67,XD12,XD12
GPIO68,GPIO68,XD11,XD11
GPIO69,GPIO69,XD10,XD10
GPIO70,GPIO70,XD9,XD9
GPIO71,GPIO71,XD8,XD8
GPIO72,GPIO72,XD7,XD7
GPIO73,GPIO73,XD6,XD6
GPIO74,GPIO74,XD5,XD5
GPIO75,GPIO75,XD4,XD4
GPIO76,GPIO76,XD3,XD3
GPIO77,GPIO77,XD2,XD2
GPIO78,GPIO78,XD1,XD1
GPIO79,GPIO79,XD0,XD0
GPIO80,GPIO80,XA8,XA8
GPIO81,GPIO81,XA9,XA9
GPIO82,GPIO82,XA10,XA10
GPIO83,GPIO83,XA11,XA11
GPIO84,GPIO84,XA12,XA12
GPIO85,GPIO85,XA13,XA13
GPIO86,GPIO86,XA14,XA14
GPIO87,GPIO87,XA15,XA15
